,date,open,close,high,low,volume,money
0,2005-01-07,3.43,3.48,3.55,3.35,3863179.0,13249640.0
1,2005-01-14,3.5,3.48,3.59,3.46,8008402.0,28223156.0
2,2005-01-21,3.44,3.48,3.48,3.28,7125505.0,24300787.0
3,2005-01-28,3.58,3.36,3.59,3.35,5467414.0,19022721.0
4,2005-02-04,3.35,3.51,3.53,3.18,12641948.0,42956709.0
5,2005-02-18,3.62,3.44,3.68,3.44,10170444.0,35953259.0
6,2005-02-25,3.45,3.54,3.66,3.43,14374097.0,51156297.0
7,2005-03-04,3.52,3.39,3.56,3.38,7953943.0,27490813.0
8,2005-03-11,3.38,3.3,3.48,3.26,7603807.0,25634370.0
9,2005-03-18,3.3,2.86,3.3,2.81,11890164.0,36518931.0
10,2005-03-25,2.82,2.76,2.9,2.65,10768963.0,29801294.0
11,2005-04-01,2.76,2.89,2.98,2.63,15886989.0,44590048.0
12,2005-04-08,2.88,3.1,3.1,2.76,25286143.0,74484834.0
13,2005-04-15,3.09,2.78,3.15,2.77,17314800.0,51738638.0
14,2005-04-22,2.78,2.53,2.83,2.49,10868070.0,28891698.0
15,2005-04-29,2.52,2.66,2.74,2.41,10616614.0,27293004.0
16,2005-05-13,2.65,2.52,2.68,2.44,9876958.0,25171711.0
17,2005-05-20,2.5,2.56,2.7,2.43,10723270.0,27794176.0
18,2005-05-27,2.54,2.52,2.65,2.48,6101967.0,15595189.0
19,2005-06-03,2.51,2.45,2.59,2.44,4600021.0,11531775.0
20,2005-06-10,2.45,2.65,2.8,2.45,20696514.0,54905820.0
21,2005-06-17,2.63,2.5,2.71,2.45,9728577.0,24859251.0
22,2005-06-24,2.52,2.55,2.63,2.45,11967809.0,30755892.0
23,2005-07-01,2.57,2.28,2.63,2.28,8717712.0,21375898.0
24,2005-07-08,2.25,2.02,2.25,1.95,16424768.0,33784763.0
25,2005-07-15,2.0,2.03,2.11,1.98,10517031.0,21479934.0
26,2005-07-22,2.04,2.01,2.09,1.72,33130834.0,63935628.0
27,2005-07-29,2.0,2.08,2.19,1.98,32172026.0,67295601.0
28,2005-08-05,2.08,2.34,2.4,2.06,45061285.0,102370301.0
29,2005-08-12,2.34,2.37,2.58,2.26,53847855.0,130048867.0
30,2005-08-19,2.37,2.37,2.65,2.26,47557827.0,115669165.0
31,2005-08-26,2.37,2.47,2.53,2.31,26678338.0,64976796.0
32,2005-09-02,2.47,2.6,2.68,2.33,62867422.0,161063801.0
33,2005-09-09,2.6,2.8,2.97,2.58,79253400.0,221397369.0
34,2005-09-16,2.82,2.82,2.92,2.76,37915075.0,107313096.0
35,2005-09-23,2.83,2.47,2.84,2.4,31170424.0,83087204.0
36,2005-09-30,2.45,2.41,2.52,2.34,15939845.0,38716327.0
37,2005-10-14,2.45,2.39,2.51,2.29,14766732.0,35877624.0
38,2005-10-21,2.37,2.42,2.48,2.35,11998391.0,28974087.0
39,2005-10-28,2.41,2.14,2.43,2.1,14592412.0,33180707.0
40,2005-11-04,2.14,2.2,2.25,2.13,9287561.0,20276174.0
41,2005-11-11,2.2,2.26,2.45,2.17,21106749.0,48705728.0
42,2005-11-18,2.26,2.4,2.4,2.2,13649010.0,31588553.0
43,2005-11-25,2.64,2.38,2.64,2.36,44569092.0,112422623.0
44,2005-12-02,2.38,2.3,2.43,2.29,12686044.0,29811583.0
45,2005-12-09,2.27,2.31,2.34,2.16,11853866.0,26934235.0
46,2006-01-25,2.54,2.54,2.54,2.45,19031129.0,48052604.0
47,2006-02-10,2.52,2.61,2.64,2.48,38528339.0,98368345.0
48,2006-02-17,2.64,2.69,2.75,2.54,48691106.0,129719858.0
49,2006-02-24,2.68,2.97,3.0,2.67,76642380.0,217570762.0
50,2006-03-03,2.97,2.77,2.97,2.7,38727048.0,110132919.0
51,2006-03-10,2.77,2.62,2.78,2.56,16929169.0,44716982.0
52,2006-03-17,2.63,2.72,2.77,2.62,16599123.0,44929191.0
53,2006-03-24,2.76,2.86,2.99,2.71,52963872.0,153179472.0
54,2006-03-31,2.86,2.94,3.18,2.85,71641682.0,216527173.0
55,2006-04-07,2.94,2.99,3.07,2.91,44003238.0,131259987.0
56,2006-04-14,2.99,3.22,3.31,2.95,75580262.0,236737170.0
57,2006-04-21,3.22,3.24,3.47,3.1,64173570.0,211936797.0
58,2006-04-28,3.24,3.09,3.24,2.9,48130159.0,148208512.0
59,2006-05-12,3.12,3.08,3.39,2.98,49329786.0,156122076.0
60,2006-05-19,3.08,3.3,3.32,2.99,82853659.0,257398054.0
61,2006-05-26,3.31,3.55,3.68,3.24,109934268.0,385364912.0
62,2006-06-02,3.51,3.62,3.79,3.28,83701842.0,290644426.0
63,2006-06-09,3.6,3.8,4.19,3.56,120195223.0,470090100.0
64,2006-06-16,3.78,3.68,3.88,3.52,44069052.0,161133067.0
65,2006-06-23,3.68,3.66,3.87,3.55,41453109.0,153586985.0
66,2006-06-29,3.63,3.63,3.69,3.5,34573373.0,124178933.0
67,2006-07-07,3.67,3.78,3.83,3.57,47710908.0,177730117.0
68,2006-07-14,3.78,3.7,4.0,3.6,51149673.0,196169953.0
69,2006-07-21,3.7,3.9,4.04,3.64,48865376.0,190037330.0
70,2006-07-28,3.86,3.79,3.98,3.67,38327887.0,146153497.0
71,2006-08-04,3.8,3.55,3.82,3.5,20409852.0,73979232.0
72,2006-08-11,3.52,3.58,3.6,3.32,17240836.0,59350857.0
73,2006-08-18,3.58,3.63,3.72,3.44,17488023.0,63331227.0
74,2006-08-25,3.49,3.54,3.65,3.4,16675700.0,59184107.0
75,2006-09-01,3.51,3.81,3.97,3.51,68890374.0,260643358.0
76,2006-09-08,3.82,3.7,3.91,3.66,26382260.0,99860279.0
77,2006-09-15,3.72,3.85,3.93,3.7,39959660.0,152440265.0
78,2006-09-22,3.84,4.23,4.36,3.83,105967746.0,432155679.0
79,2006-09-29,4.26,4.36,4.42,4.15,76406399.0,329114980.0
80,2006-10-13,4.45,4.23,4.57,4.08,54606661.0,233264105.0
81,2006-10-20,4.23,4.26,4.39,4.15,27869534.0,119518489.0
82,2006-10-27,4.25,3.83,4.28,3.82,58600192.0,234349555.0
83,2006-11-03,3.83,3.94,3.99,3.65,39313502.0,150768810.0
84,2006-11-10,3.93,3.79,3.95,3.71,29422717.0,112935392.0
85,2006-11-17,3.79,3.82,3.89,3.67,38657164.0,145392268.0
86,2006-11-24,3.82,4.1,4.25,3.75,96025228.0,384237349.0
87,2006-12-01,4.1,4.37,4.55,4.08,142531318.0,618147300.0
88,2006-12-08,4.31,4.12,4.55,4.1,83243908.0,359833161.0
89,2006-12-15,4.14,4.26,4.3,4.1,47132141.0,198772748.0
90,2006-12-22,4.28,4.45,4.65,4.18,118378757.0,526276254.0
91,2006-12-29,4.36,4.23,4.55,4.12,76876329.0,330612014.0
92,2007-01-05,4.23,4.21,4.31,4.13,14460159.0,60632361.0
93,2007-01-12,4.21,4.52,4.82,4.16,151520475.0,691260814.0
94,2007-01-19,4.45,4.42,4.78,4.25,123611483.0,555806489.0
95,2007-01-26,4.42,4.94,5.02,4.42,158514259.0,756886513.0
96,2007-02-02,5.0,4.65,5.36,4.61,127800011.0,639734946.0
97,2007-02-09,4.63,4.88,4.97,4.6,54158520.0,262047446.0
98,2007-02-16,4.85,5.37,5.44,4.85,88703967.0,461579462.0
99,2007-03-02,5.4,5.38,5.78,5.1,124530377.0,671026401.0
100,2007-03-09,5.42,5.97,6.2,5.22,129563190.0,748158029.0
101,2007-03-16,5.95,7.01,7.12,5.88,160690145.0,1070575705.0
102,2007-03-23,6.75,8.0,8.48,6.66,132946848.0,1017029101.0
103,2007-03-30,7.9,7.5,7.9,7.2,166610517.0,1264044143.0
104,2007-04-06,7.5,7.99,8.12,7.42,108101717.0,835141295.0
105,2007-04-13,8.0,8.65,8.67,7.66,157988052.0,1294189324.0
106,2007-04-20,8.7,9.27,9.89,8.7,191327724.0,1773464191.0
107,2007-04-27,9.39,10.0,10.26,8.9,173572936.0,1672394427.0
108,2007-04-30,9.92,10.5,10.5,9.88,35520841.0,369347966.0
109,2007-05-11,10.91,12.75,12.77,10.91,115275159.0,1392604581.0
110,2007-05-18,12.26,12.17,12.67,10.93,193962096.0,2320739970.0
111,2007-05-25,11.61,14.43,15.0,11.6,171396838.0,2343096979.0
112,2007-06-01,14.52,12.52,14.79,12.52,161072264.0,2224769115.0
113,2007-06-08,11.89,11.96,12.33,10.74,119806994.0,1372599992.0
114,2007-06-15,12.53,12.63,13.6,12.5,132740720.0,1733993499.0
115,2007-06-22,12.98,12.86,13.8,12.61,123130614.0,1626587620.0
116,2007-06-28,12.87,11.6,13.16,11.6,82522503.0,993380807.0
117,2007-07-06,11.02,10.08,11.3,9.43,78641258.0,812804098.0
118,2007-07-13,10.18,10.52,10.89,9.7,82547263.0,852909225.0
119,2007-07-20,10.36,10.94,10.94,9.71,53582466.0,559600434.0
120,2007-07-27,11.35,12.62,12.85,11.35,76855352.0,925408112.0
121,2007-08-03,12.45,12.67,13.16,11.96,88280574.0,1111410690.0
122,2007-08-10,12.79,12.29,13.68,12.26,100923319.0,1307569581.0
123,2007-08-17,12.39,12.19,12.59,11.73,54967739.0,673060092.0
124,2007-08-24,12.5,12.95,13.6,12.35,87418682.0,1136797534.0
125,2007-08-31,12.95,13.23,13.6,12.19,85579391.0,1106401945.0
126,2007-09-07,13.35,13.68,14.94,13.0,131639349.0,1838290981.0
127,2007-09-14,13.47,13.29,13.97,12.45,69991054.0,926159807.0
128,2007-09-21,13.25,13.97,14.5,13.0,90287729.0,1239252826.0
129,2007-09-28,14.08,14.53,14.75,13.5,97057045.0,1375414688.0
130,2007-10-12,14.63,14.85,16.0,14.01,119961091.0,1814080072.0
131,2007-10-19,14.88,14.9,15.49,14.28,78479751.0,1165350882.0
132,2007-10-26,14.67,13.5,15.08,13.27,81478029.0,1162200871.0
133,2007-11-02,14.11,15.51,15.51,13.68,81899913.0,1217637557.0
134,2007-11-09,15.5,14.05,15.87,14.02,74703218.0,1128836214.0
135,2007-11-16,13.75,13.41,13.98,13.0,42566332.0,574558241.0
136,2007-11-23,13.45,12.95,14.25,12.68,28129715.0,379665734.0
137,2007-11-30,13.3,11.5,13.33,11.1,38184407.0,454134589.0
138,2007-12-07,11.27,12.84,12.84,11.27,28593174.0,352300467.0
139,2007-12-14,12.5,13.76,14.12,12.38,52853780.0,713262617.0
140,2007-12-21,13.8,15.19,15.89,13.07,64072329.0,944548794.0
141,2007-12-27,15.29,15.9,16.0,14.8,44457413.0,688051472.0
142,2008-01-04,15.82,15.74,16.14,15.54,25554348.0,403713422.0
143,2008-01-11,15.7,15.88,15.97,14.8,58747797.0,905260943.0
144,2008-01-18,16.05,16.49,17.36,15.43,59525682.0,978399045.0
145,2008-01-25,16.59,15.07,16.98,14.15,50591065.0,769113203.0
146,2008-02-01,14.86,13.06,14.9,12.97,30937766.0,429852522.0
147,2008-02-05,13.46,14.08,14.24,13.36,8800501.0,121873004.0
148,2008-02-15,13.93,14.0,14.45,13.71,10876065.0,153302995.0
149,2008-02-22,14.04,14.29,14.64,13.88,27244708.0,388794037.0
150,2008-02-29,14.3,14.58,14.7,13.58,51248620.0,735354368.0
151,2008-03-07,14.6,15.07,15.68,14.55,52266335.0,792701934.0
152,2008-03-10,15.07,14.33,15.09,14.32,18756291.0,273615513.0
153,2008-05-16,9.85,9.52,10.7,9.4,79756875.0,802290317.0
154,2008-05-23,9.02,7.79,9.29,7.66,116800245.0,979293227.0
155,2008-05-30,7.7,7.34,7.88,7.21,63142132.0,472983135.0
156,2008-06-06,7.33,7.41,7.54,7.12,48307261.0,352978407.0
157,2008-06-13,7.17,5.58,7.17,5.57,53668558.0,333298022.0
158,2008-06-20,5.59,4.4,5.73,4.25,73842522.0,365221491.0
159,2008-06-26,4.4,5.31,5.46,4.18,105969445.0,512724420.0
160,2008-07-04,4.8,4.79,5.04,4.36,71263291.0,338489951.0
161,2008-07-11,4.78,5.36,5.89,4.73,134580734.0,724281160.0
162,2008-07-18,5.29,4.88,5.61,4.56,75357433.0,380236738.0
163,2008-07-25,4.88,5.31,5.63,4.8,90127228.0,476621364.0
164,2008-08-01,5.34,5.06,5.5,4.77,46845055.0,241556546.0
165,2008-08-08,5.01,4.39,5.01,4.36,30032503.0,142130486.0
166,2008-08-15,4.38,3.82,4.4,3.57,33610512.0,131224410.0
167,2008-08-22,3.83,3.58,3.87,3.28,38039786.0,138426423.0
168,2008-08-29,3.58,3.7,3.75,3.34,33493468.0,118925449.0
169,2008-09-05,3.6,3.46,3.76,3.4,36985029.0,133626514.0
170,2008-09-12,3.42,3.29,3.52,3.26,20075378.0,67273257.0
171,2008-09-19,3.33,3.23,3.35,2.75,33096890.0,102933261.0
172,2008-09-26,3.48,3.24,3.55,2.93,72473895.0,232506237.0
173,2008-10-10,3.15,3.03,3.18,2.9,49814260.0,151642484.0
174,2008-10-17,3.09,3.98,4.08,3.04,366997120.0,1365574185.0
175,2008-10-24,3.97,3.67,4.3,3.6,296623546.0,1168795277.0
176,2008-10-31,3.55,3.74,4.07,3.41,248908052.0,944411160.0
177,2008-11-07,3.65,3.38,3.83,3.2,142706568.0,493139432.0
178,2008-11-14,3.43,4.35,4.5,3.42,288632604.0,1174738144.0
179,2008-11-21,4.37,4.92,5.1,3.93,331093324.0,1472616336.0
180,2008-11-28,4.8,4.26,4.9,4.17,239705424.0,1099261216.0
181,2008-12-05,4.24,4.8,4.88,4.13,177103850.0,811336152.0
182,2008-12-12,4.89,4.83,5.18,4.62,205623428.0,1008911880.0
183,2008-12-19,4.99,4.96,5.09,4.5,162524156.0,783873488.0
184,2008-12-26,4.96,4.18,5.05,4.13,108132078.0,489652884.0
185,2008-12-31,4.23,3.98,4.29,3.97,37546530.0,154684348.0
186,2009-01-09,4.07,4.27,4.37,4.0,74469477.0,312896064.0
187,2009-01-16,4.24,5.3,5.49,4.17,350458044.0,1739574320.0
188,2009-01-23,5.35,5.84,6.16,5.22,243230952.0,1374403616.0
189,2009-02-06,5.89,6.6,6.76,5.7,170719514.0,1073739840.0
190,2009-02-13,6.7,7.74,7.96,6.55,203291808.0,1470827808.0
191,2009-02-20,7.82,8.59,8.66,7.11,225645316.0,1763351088.0
192,2009-02-27,8.72,7.92,9.64,7.44,349740908.0,3002760064.0
193,2009-03-06,7.79,8.5,9.2,7.75,251904496.0,2163544512.0
194,2009-03-13,8.5,8.3,8.74,7.61,169547630.0,1382937728.0
195,2009-03-20,8.08,8.98,9.16,7.9,177401608.0,1540520816.0
196,2009-03-27,9.0,9.09,9.58,8.55,187658032.0,1715176448.0
197,2009-04-03,9.05,9.4,10.12,8.6,211014956.0,2027612848.0
198,2009-04-10,9.4,10.3,10.48,9.4,130874972.0,1284806432.0
199,2009-04-17,10.38,9.88,10.77,9.8,147016436.0,1521993520.0
200,2009-04-24,9.86,9.27,10.18,8.92,101611776.0,978673280.0
201,2009-04-30,9.2,9.77,9.96,8.63,79513218.0,741416408.0
202,2009-05-08,9.77,10.83,11.09,9.7,172605788.0,1818055248.0
203,2009-05-15,10.9,10.1,10.95,9.9,139623440.0,1430851904.0
204,2009-05-22,10.06,9.91,10.6,9.66,119592612.0,1211229760.0
205,2009-05-27,9.49,10.09,10.55,9.22,137305268.0,1372237584.0
206,2009-06-05,10.17,11.36,11.66,10.07,273126414.0,2985027264.0
207,2009-06-12,11.36,11.24,11.68,10.85,155890190.0,1763760848.0
208,2009-06-19,11.18,11.78,12.1,10.9,124905689.0,1439586768.0
209,2009-06-26,11.85,11.77,11.97,11.25,90151660.0,1040937648.0
210,2009-07-03,11.7,14.39,14.39,11.7,204596372.0,2646279904.0
211,2009-07-10,14.78,14.18,14.98,13.58,146998888.0,2077342208.0
212,2009-07-17,14.0,14.14,14.8,13.76,121552692.0,1730940352.0
213,2009-07-24,14.08,13.93,14.75,13.7,130726630.0,1839785568.0
214,2009-07-31,13.94,12.83,14.19,12.01,146942425.0,1939839280.0
215,2009-08-07,12.88,12.03,13.15,12.0,125728894.0,1592652128.0
216,2009-08-14,12.12,11.4,12.2,11.31,102107456.0,1194538016.0
217,2009-08-17,11.22,10.5,11.22,10.26,28846236.0,304559424.0
218,2009-08-28,10.8,10.74,11.55,10.55,92745552.0,1032843952.0
219,2009-09-04,10.51,10.59,10.99,9.14,116478696.0,1166664224.0
220,2009-09-11,10.67,11.4,11.65,10.3,99698796.0,1101252432.0
221,2009-09-18,11.42,11.58,12.3,11.18,138845822.0,1631136384.0
222,2009-09-25,11.4,10.2,11.78,9.8,110110497.0,1176587376.0
223,2009-09-30,10.21,10.27,10.45,9.84,33469516.0,338947280.0
224,2009-10-09,10.45,10.89,10.93,10.33,14223898.0,152680208.0
225,2009-10-16,10.9,11.29,11.63,10.72,80325412.0,904585144.0
226,2009-10-23,11.35,12.4,12.99,11.32,130119984.0,1582660896.0
227,2009-10-30,12.43,12.51,13.0,11.85,137365828.0,1710971392.0
228,2009-11-06,12.09,13.88,14.02,11.91,194525744.0,2563373056.0
229,2009-11-13,14.05,13.18,14.05,12.9,100807382.0,1358891872.0
230,2009-11-20,13.29,13.7,13.95,13.14,149106752.0,2009578112.0
231,2009-11-27,13.7,12.2,13.95,12.07,174699068.0,2315406464.0
232,2009-12-04,12.47,12.61,13.2,12.2,105314043.0,1335871296.0
233,2009-12-11,12.63,12.38,13.1,12.24,91211036.0,1148297928.0
234,2009-12-18,12.32,10.87,12.37,10.82,132470096.0,1530183296.0
235,2009-12-25,10.75,11.05,11.19,10.3,89240363.0,956339736.0
236,2009-12-31,11.02,10.98,11.17,10.8,92632412.0,1014704128.0
237,2010-01-08,11.0,11.27,11.32,10.28,174897664.0,1885128616.0
238,2010-01-15,11.36,11.44,11.55,10.5,185491539.0,2060969463.0
239,2010-01-22,11.43,11.28,12.33,11.03,193091846.0,2279872784.0
240,2010-01-29,11.26,10.43,11.26,9.97,86600704.0,909757960.0
241,2010-02-05,10.38,11.18,12.1,9.98,277911026.0,3152860608.0
242,2010-02-12,11.08,10.86,11.2,10.4,119209286.0,1280222512.0
243,2010-02-26,10.7,11.31,11.56,10.48,131230749.0,1447227744.0
244,2010-03-05,11.24,11.46,12.43,11.07,205156574.0,2409361600.0
245,2010-03-12,11.66,11.17,12.14,11.05,97938098.0,1136327488.0
246,2010-03-19,11.17,11.52,11.54,10.8,81408882.0,912005624.0
247,2010-03-26,11.62,11.31,11.62,11.03,63142292.0,711762488.0
248,2010-04-02,11.36,12.26,12.43,11.23,179357880.0,2138530096.0
249,2010-04-09,12.3,12.18,12.58,11.7,107069810.0,1297705504.0
250,2010-04-16,12.18,11.72,12.26,11.4,98828513.0,1174433136.0
251,2010-04-23,11.42,11.68,12.09,10.57,135238198.0,1542369248.0
252,2010-04-30,11.72,11.2,12.37,10.88,154891233.0,1825563504.0
253,2010-05-07,10.95,10.42,11.4,10.3,85534316.0,932783888.0
254,2010-05-14,10.42,9.7,10.61,8.9,103567000.0,1001686576.0
255,2010-05-21,9.45,9.04,9.58,8.35,100155644.0,899350432.0
256,2010-05-28,9.16,10.16,10.46,9.16,144209808.0,1420016984.0
257,2010-06-04,10.24,9.68,10.37,9.19,83925184.0,817777144.0
258,2010-06-11,9.45,9.9,10.05,9.21,71058615.0,693623400.0
259,2010-06-18,9.96,9.65,10.1,9.6,20950792.0,207194656.0
260,2010-06-25,9.55,9.64,10.2,9.5,58111606.0,575857616.0
261,2010-07-02,9.64,7.8,9.75,7.38,53784752.0,455564080.0
262,2010-07-09,7.65,8.88,9.11,7.46,77873068.0,644288352.0
263,2010-07-16,9.0,8.93,9.39,8.72,74796907.0,675988848.0
264,2010-07-23,8.85,9.69,9.88,8.82,85778817.0,817168632.0
265,2010-07-30,9.81,9.96,10.25,9.57,91119764.0,903959272.0
266,2010-08-06,9.96,10.13,10.24,9.77,75075100.0,754555336.0
