,下跌,上涨<1,上涨>1,准确率>0,准确率>1,指数收益率,指数涨跌净值,平均收益率,模型净值
2020-06-04,4,0,0,0.00%,0.00%,0,0,-1.0725,0.99571
2020-06-05,0,0,0,0.00%,0.00%,0,0,0,0.99571
2020-06-08,4,2,0,33.33%,0.00%,0,0,-1.1333333333333333,0.988939172
2020-06-09,3,0,2,40.00%,40.00%,0,0,1.2560000000000002,0.9951497100001601
2020-06-10,3,1,1,40.00%,20.00%,0,0,0.08400000000000005,0.9955676728783601
2020-06-11,1,0,0,0.00%,0.00%,0,0,-3.6999999999999997,0.9918840724887102
2020-06-12,0,0,0,0.00%,0.00%,0,0,0,0.9918840724887102
2020-06-15,1,0,0,0.00%,0.00%,0,0,-2.02,0.989880466662283
2020-06-16,0,0,0,0.00%,0.00%,0,0,0,0.989880466662283
2020-06-17,0,2,2,100.00%,50.00%,0,0,2.1875,0.998541920745578
2020-06-18,1,0,1,50.00%,50.00%,0,0,2.85,1.0042336096938278
2020-06-19,3,1,5,66.67%,55.56%,0,0,0.6555555555555557,1.0101585879910213
2020-06-22,1,0,0,0.00%,0.00%,0,0,-1.46,1.0086837564525544
2020-06-23,2,0,0,0.00%,0.00%,0,0,-0.875,1.0069185598787624
2020-06-24,2,1,2,60.00%,40.00%,0,0,0.892,1.0114094166558216
2020-06-29,1,0,1,50.00%,50.00%,0,0,8.27,1.028138128407309
2020-06-30,0,1,0,100.00%,0.00%,0,0,0.74,1.0288989506223305
2020-07-01,1,0,0,0.00%,0.00%,0,0,-2.51,1.0263164142562684
2020-07-02,1,0,0,0.00%,0.00%,0,0,-1.1099999999999999,1.0251772030364439
2020-07-03,0,1,2,100.00%,66.67%,0,0,5.663333333333333,1.042594963716033
2020-07-06,1,2,5,87.50%,62.50%,0,0,2.475,1.0632383439976105
2020-07-07,2,0,1,33.33%,33.33%,0,0,0.4999999999999999,1.0648332015136068
2020-07-08,2,1,7,80.00%,70.00%,0,0,1.9,1.0850650323423654
2020-07-09,2,1,7,80.00%,70.00%,0,0,5.1739999999999995,1.1412062971157593
2020-07-10,1,1,0,50.00%,0.00%,0,0,-1.3699999999999999,1.138079391861662
2020-07-13,3,3,2,62.50%,25.00%,0,0,0.25375000000000003,1.1403896930271413
2020-07-14,1,0,0,0.00%,0.00%,0,0,-4.62,1.1351210926453559
2020-07-15,1,0,0,0.00%,0.00%,0,0,-0.22,1.1348713660049738
2020-07-16,10,0,0,0.00%,0.00%,0,0,-1.8759999999999997,1.1135811791787205
2020-07-17,3,1,6,70.00%,60.00%,0,0,0.6190000000000001,1.1204742466778368
2020-07-20,0,0,0,0.00%,0.00%,0,0,0,1.1204742466778368
2020-07-21,1,0,2,66.67%,66.67%,0,0,1.45,1.1253483096508854
2020-07-22,2,0,1,33.33%,33.33%,0,0,-2.3299999999999996,1.1174821249664257
2020-07-23,2,0,1,33.33%,33.33%,0,0,-0.24666666666666667,1.1166551881939506
2020-07-24,3,0,0,0.00%,0.00%,0,0,-3.05,1.106437793221976
2020-07-27,4,4,2,60.00%,20.00%,0,0,-0.499,1.1009166686337983
2020-07-28,1,0,2,66.67%,66.67%,0,0,0.76,1.1034267586382833
2020-07-29,3,3,4,70.00%,40.00%,0,0,1.375,1.1185988765695598
2020-07-30,1,2,1,75.00%,25.00%,0,0,1.2475,1.124180684963642
2020-07-31,0,0,2,100.00%,100.00%,0,0,4.614999999999999,1.1345568726858564
2020-08-03,1,1,5,85.71%,71.43%,0,0,1.6885714285714288,1.1479673349210031
2020-08-04,2,1,0,33.33%,0.00%,0,0,-0.26,1.1470719203997648
2020-08-05,2,0,0,0.00%,0.00%,0,0,-2.355,1.1416692116546818
2020-08-06,6,0,0,0.00%,0.00%,0,0,-1.5216666666666667,1.1312457717522746
2020-08-07,8,0,1,11.11%,11.11%,0,0,-1.0244444444444445,1.1208156857367186
2020-08-10,2,2,2,66.67%,33.33%,0,0,0.3483333333333334,1.1231581905199084
2020-08-11,3,0,0,0.00%,0.00%,0,0,-4.506666666666667,1.1079730917840793
2020-08-12,0,0,0,0.00%,0.00%,0,0,0,1.1079730917840793
2020-08-13,3,0,1,25.00%,25.00%,0,0,-0.4,1.1062003348372247
2020-08-14,2,3,2,71.43%,28.57%,0,0,0.7228571428571428,1.111797708531501
2020-08-17,1,0,3,75.00%,75.00%,0,0,2.5675000000000003,1.1232158709981195
2020-08-18,2,1,1,50.00%,25.00%,0,0,0.5575,1.1257206423904453
2020-08-19,3,0,0,0.00%,0.00%,0,0,-2.4733333333333336,1.1173677952239083
2020-08-20,6,1,0,14.29%,0.00%,0,0,-2.977142857142857,1.094081850371442
2020-08-21,1,0,1,50.00%,50.00%,0,0,1.1450000000000002,1.0965872978087927
2020-08-24,2,0,0,0.00%,0.00%,0,0,-0.58,1.0953152565433346
2020-08-25,4,0,1,20.00%,20.00%,0,0,-3.967999999999999,1.0735842018535149
2020-08-26,4,0,0,0.00%,0.00%,0,0,-2.4074999999999998,1.0632455859896655
2020-08-27,1,1,0,50.00%,0.00%,0,0,-1.285,1.060513044833672
2020-08-28,0,0,1,100.00%,100.00%,0,0,1.81,1.0624325734448208
2020-08-31,8,0,0,0.00%,0.00%,0,0,-3.8137499999999998,1.0300177556290193
2020-09-01,1,0,0,0.00%,0.00%,0,0,-0.15,1.029863252965675
2020-09-02,3,0,3,50.00%,50.00%,0,0,0.6733333333333333,1.0340239005076564
2020-09-03,6,0,1,14.29%,14.29%,0,0,-2.2757142857142854,1.0175518997725694
2020-09-04,1,0,0,0.00%,0.00%,0,0,-0.6,1.0169413686327058
2020-09-07,2,0,0,0.00%,0.00%,0,0,-2.86,1.0111244640041268
2020-09-08,8,0,2,20.00%,20.00%,0,0,-0.9599999999999999,1.0014176691496872
2020-09-09,0,0,0,0.00%,0.00%,0,0,0,1.0014176691496872
2020-09-10,5,0,5,50.00%,50.00%,0,0,-0.015999999999999986,1.0012574423226233
2020-09-11,0,0,1,100.00%,100.00%,0,0,3.0300000000000002,1.0042912523728609
2020-09-14,6,1,1,25.00%,12.50%,0,0,-0.99375,0.9963071369164966
2020-09-15,3,0,1,25.00%,25.00%,0,0,-0.10000000000000006,0.99590861406173
2020-09-16,4,0,1,20.00%,20.00%,0,0,0.612,0.9989560944207589
2020-09-17,0,0,2,100.00%,100.00%,0,0,3.645,1.0062384843490864
2020-09-18,0,0,0,0.00%,0.00%,0,0,0,1.0062384843490864
2020-09-21,3,0,0,0.00%,0.00%,0,0,-2.4866666666666664,0.9987319452558422
2020-09-22,1,0,2,66.67%,66.67%,0,0,0.17,0.9992412985479227
2020-09-23,5,2,3,50.00%,30.00%,0,0,-0.32600000000000007,0.9959837719146564
2020-09-24,0,0,1,100.00%,100.00%,0,0,1.9,0.9978761410812942
2020-09-25,8,2,0,20.00%,0.00%,0,0,-2.025,0.977669149224398
2020-09-28,0,0,0,0.00%,0.00%,0,0,0,0.977669149224398
2020-09-29,2,3,4,77.78%,44.44%,0,0,0.5255555555555556,0.9822935243002293
2020-09-30,0,0,5,100.00%,100.00%,0,0,3.3919999999999995,0.9989532224723612
2020-10-09,0,0,4,100.00%,100.00%,0,0,5.74,1.0218891884603265
2020-10-12,0,1,1,100.00%,50.00%,0,0,0.9049999999999999,1.0237388078914398
2020-10-13,4,0,1,20.00%,20.00%,0,0,-0.664,1.0203399950492402
2020-10-14,7,1,0,12.50%,0.00%,0,0,-3.44,0.9922602383854852
2020-10-15,6,1,2,33.33%,22.22%,0,0,-1.4300000000000002,0.979489849117464
2020-10-16,0,1,4,100.00%,80.00%,0,0,1.338,0.9860426362080598
2020-10-19,7,0,1,12.50%,12.50%,0,0,-0.815,0.9796136382199833
2020-10-20,4,1,2,42.86%,28.57%,0,0,-1.3785714285714283,0.9701603666111605
2020-10-21,3,0,0,0.00%,0.00%,0,0,-0.9500000000000002,0.9673954095663186
2020-10-22,1,0,1,50.00%,50.00%,0,0,1.4100000000000001,0.9701234646212956
2020-10-23,3,0,1,25.00%,25.00%,0,0,-1.3499999999999999,0.9648847979123406
2020-10-26,1,1,0,50.00%,0.00%,0,0,-0.06499999999999997,0.964759362888612
2020-10-27,1,0,0,0.00%,0.00%,0,0,-1.63,0.9631868051271035
2020-10-28,0,0,2,100.00%,100.00%,0,0,2.095,0.9672225578405861
2020-10-29,1,0,3,75.00%,75.00%,0,0,1.4125,0.9726873652923854
2020-10-30,7,1,0,12.50%,0.00%,0,0,-1.8287499999999999,0.9584569491381578
2020-11-02,1,1,8,90.00%,80.00%,0,0,2.131,0.978881666724292
2020-11-03,0,0,0,0.00%,0.00%,0,0,0,0.978881666724292
2020-11-04,2,3,0,60.00%,0.00%,0,0,-0.16999999999999998,0.9780496173075763
2020-11-05,1,0,1,50.00%,50.00%,0,0,1.245,0.9804849608546722
2020-11-06,0,3,6,100.00%,66.67%,0,0,1.27,0.991691903957241
2020-11-09,0,0,0,0.00%,0.00%,0,0,0,0.991691903957241
2020-11-10,5,1,2,37.50%,25.00%,0,0,-0.6149999999999999,0.9868127797897714
2020-11-11,1,0,0,0.00%,0.00%,0,0,-0.98,0.9858457032655775
2020-11-12,6,2,2,40.00%,20.00%,0,0,-0.5770000000000001,0.9801573735577351
2020-11-13,1,2,1,75.00%,25.00%,0,0,1.0900000000000003,0.9844308597064468
2020-11-16,2,1,1,50.00%,25.00%,0,0,-0.3075,0.9832200097490079
2020-11-17,2,0,0,0.00%,0.00%,0,0,-0.83,0.9815878645328245
2020-11-18,5,0,0,0.00%,0.00%,0,0,-0.762,0.9778480147689544
2020-11-19,4,1,1,33.33%,16.67%,0,0,-0.30833333333333335,0.9760389959416319
2020-11-20,0,2,1,100.00%,33.33%,0,0,1.26,0.9797284233462913
2020-11-23,0,0,0,0.00%,0.00%,0,0,0,0.9797284233462913
2020-11-24,2,0,0,0.00%,0.00%,0,0,-0.15,0.9794345048192874
2020-11-25,2,0,0,0.00%,0.00%,0,0,-3.6599999999999997,0.9722650442440102
2020-11-26,0,1,0,100.00%,0.00%,0,0,0.17,0.9724303293015316
2020-11-27,1,2,2,80.00%,40.00%,0,0,0.654,0.9756101764783476
2020-11-30,0,0,0,0.00%,0.00%,0,0,0,0.9756101764783476
2020-12-01,1,0,0,0.00%,0.00%,0,0,-4.65,0.9710735891577232
2020-12-02,3,1,1,40.00%,20.00%,0,0,-3.002,0.9564977745844658
2020-12-03,0,0,0,0.00%,0.00%,0,0,0,0.9564977745844658
2020-12-04,3,2,1,50.00%,16.67%,0,0,-0.37833333333333335,0.9543265246361591
2020-12-07,5,0,0,0.00%,0.00%,0,0,-1.182,0.9486864548755594
2020-12-08,3,0,0,0.00%,0.00%,0,0,-1.0299999999999998,0.9457550137299939
2020-12-09,2,0,0,0.00%,0.00%,0,0,-2.485,0.9410546113117558
2020-12-10,1,0,0,0.00%,0.00%,0,0,-1.39,0.9397465454020325
2020-12-11,1,1,0,50.00%,0.00%,0,0,-0.765,0.9383087331875674
2020-12-14,4,0,0,0.00%,0.00%,0,0,-0.845,0.9351372496693934
2020-12-15,4,0,1,20.00%,20.00%,0,0,-0.7879999999999999,0.9314528089056959
2020-12-16,2,0,0,0.00%,0.00%,0,0,-1.64,0.9283976436924852
2020-12-17,0,1,1,100.00%,50.00%,0,0,2.4050000000000002,0.9328632363586461
2020-12-18,3,2,0,40.00%,0.00%,0,0,-0.596,0.9300833039142973
2020-12-21,3,0,1,25.00%,25.00%,0,0,-0.7925,0.9271349398408889
2020-12-22,2,0,1,33.33%,33.33%,0,0,-1.0333333333333332,0.9242608215273822
2020-12-23,5,2,3,50.00%,30.00%,0,0,-0.024999999999999967,0.9240297563220004
2020-12-24,0,0,0,0.00%,0.00%,0,0,0,0.9240297563220004
2020-12-25,1,1,1,66.67%,33.33%,0,0,-0.8333333333333333,0.9217196819311954
